"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.023616333E0,-2.440674591E0,1.710193634E0,1.305016205E1
3.033561333E0,-2.071242828E0,1.631457367E0,1.205248672E1
3.043505333E0,-1.984123993E0,1.388063507E0,1.117920273E1
3.053449333E0,-1.860331421E0,1.181792450E0,1.055949142E1
3.063394333E0,-1.612147522E0,1.161285095E0,1.009291168E1
3.073338333E0,-1.379531250E0,1.196162567E0,9.547895050E0
3.083282333E0,-1.238674164E0,1.231938171E0,8.820856934E0
3.093226333E0,-1.066532135E0,1.321302338E0,7.949668579E0
3.103171333E0,-9.077124023E-1,1.437760162E0,7.116650848E0
3.113115333E0,-8.295748901E-1,1.608554993E0,6.323150940E0
3.123059333E0,-5.956114197E-1,1.936223602E0,5.539979553E0
3.133004333E0,-4.352947998E-1,2.255060577E0,4.786745911E0
3.142948333E0,-5.171745300E-1,2.435285797E0,4.154460754E0
3.152892333E0,-6.406677246E-1,2.526146851E0,3.764521637E0
3.162836333E0,-6.670129395E-1,2.597398682E0,3.553161163E0
3.172781333E0,-6.453080750E-1,2.665207672E0,3.568279724E0
3.182725333E0,-5.909710693E-1,2.708318024E0,3.934118958E0
3.192669333E0,-3.809577942E-1,2.702929230E0,4.662504272E0
3.202614333E0,-1.899549866E-1,2.713108063E0,5.596861267E0
3.212558333E0,-9.385482788E-2,2.719394989E0,6.475983124E0
3.222502333E0,-2.724334717E-2,2.702629852E0,7.228618011E0
3.232446333E0,1.332229614E-1,2.793939972E0,7.785909119E0
3.242391333E0,2.297721863E-1,2.864742737E0,8.179740143E0
3.252335333E0,2.266287231E-1,2.928809509E0,8.450527039E0
3.262279333E0,1.194515991E-1,3.092868347E0,8.665030975E0
3.272223333E0,2.514770508E-2,3.248694305E0,8.837771759E0
3.282168333E0,-4.969665527E-2,3.387755127E0,9.083261261E0
3.292112333E0,-7.619155884E-2,3.488495636E0,9.241631927E0
3.302056333E0,-5.209167480E-2,3.642076263E0,9.295669556E0
3.312001333E0,-1.347198486E-2,3.775448914E0,9.351653137E0
3.321945333E0,-6.870712280E-2,3.862717438E0,9.437275085E0
3.331889333E0,-2.728825378E-1,3.845054169E0,9.524842987E0
3.341833333E0,-3.941304016E-1,3.834276581E0,9.666897583E0
3.351778333E0,-4.923262024E-1,3.780089264E0,9.878557434E0
3.361722333E0,-5.715115356E-1,3.669020233E0,1.002480331E1
3.371666333E0,-3.600013733E-1,3.779939575E0,1.000953506E1
3.381611333E0,-8.307723999E-2,3.867657166E0,9.958042145E0
3.391555333E0,2.101629639E-1,3.871549072E0,9.770781555E0
3.401499333E0,4.960684204E-1,3.936513977E0,9.493558044E0
3.411443333E0,6.752458191E-1,3.981270905E0,9.259893951E0
3.421388333E0,6.944059753E-1,3.961212616E0,9.208251343E0
3.431332333E0,5.709127808E-1,3.895349579E0,9.397158508E0
3.441276333E0,4.155358887E-1,3.805985413E0,9.746531982E0
3.451221333E0,1.576222229E-1,3.643872528E0,1.034528687E1
3.461165333E0,7.888595581E-2,3.496279449E0,1.105885300E1
3.471109333E0,1.339714050E-1,3.499123535E0,1.157902130E1
3.481053333E0,1.085243225E-1,3.450175323E0,1.191088120E1
3.490998333E0,-8.202941895E-2,3.267405396E0,1.213032486E1
3.500942333E0,-2.398013306E-1,3.143912201E0,1.214634155E1
3.510886333E0,-2.722837830E-1,3.104693756E0,1.213107330E1
3.520830333E0,-2.832110596E-1,2.965183868E0,1.220412140E1
3.530775333E0,-1.740879822E-1,2.779869232E0,1.206401276E1
3.540719333E0,-8.382568359E-3,2.518662415E0,1.182121765E1
3.550664125E0,8.472381592E-2,2.184257813E0,1.164144150E1
3.560609125E0,-1.451980591E-2,1.866468658E0,1.154025192E1
